Rebound 62 mode-values.

OK  checkbox/xl/box-size  [Spacious]  ->  size/size-32
OK  checkbox/xs/mark-size  [Dense]  ->  size/size-6
OK  radio/xs/box-radius  [Comfortable]  ->  radii/full
OK  radio/xs/box-radius  [Compact]  ->  radii/full
OK  radio/xs/box-radius  [Spacious]  ->  radii/full
OK  radio/xs/box-radius  [Dense]  ->  radii/full
OK  radio/xs/focus-ring-gap-radius  [Comfortable]  ->  radii/full
OK  radio/xs/focus-ring-gap-radius  [Compact]  ->  radii/full
OK  radio/xs/focus-ring-gap-radius  [Spacious]  ->  radii/full
OK  radio/xs/focus-ring-gap-radius  [Dense]  ->  radii/full
OK  radio/xs/focus-ring-radius  [Comfortable]  ->  radii/full
OK  radio/xs/focus-ring-radius  [Compact]  ->  radii/full
OK  radio/xs/focus-ring-radius  [Spacious]  ->  radii/full
OK  radio/xs/focus-ring-radius  [Dense]  ->  radii/full
OK  radio/sm/box-radius  [Comfortable]  ->  radii/full
OK  radio/sm/box-radius  [Compact]  ->  radii/full
OK  radio/sm/box-radius  [Spacious]  ->  radii/full
OK  radio/sm/box-radius  [Dense]  ->  radii/full
OK  radio/sm/focus-ring-gap-radius  [Comfortable]  ->  radii/full
OK  radio/sm/focus-ring-gap-radius  [Compact]  ->  radii/full
OK  radio/sm/focus-ring-gap-radius  [Spacious]  ->  radii/full
OK  radio/sm/focus-ring-gap-radius  [Dense]  ->  radii/full
OK  radio/sm/focus-ring-radius  [Comfortable]  ->  radii/full
OK  radio/sm/focus-ring-radius  [Compact]  ->  radii/full
OK  radio/sm/focus-ring-radius  [Spacious]  ->  radii/full
OK  radio/sm/focus-ring-radius  [Dense]  ->  radii/full
OK  radio/md/box-radius  [Comfortable]  ->  radii/full
OK  radio/md/box-radius  [Compact]  ->  radii/full
OK  radio/md/box-radius  [Spacious]  ->  radii/full
OK  radio/md/box-radius  [Dense]  ->  radii/full
OK  radio/md/focus-ring-gap-radius  [Comfortable]  ->  radii/full
OK  radio/md/focus-ring-gap-radius  [Compact]  ->  radii/full
OK  radio/md/focus-ring-gap-radius  [Spacious]  ->  radii/full
OK  radio/md/focus-ring-gap-radius  [Dense]  ->  radii/full
OK  radio/md/focus-ring-radius  [Comfortable]  ->  radii/full
OK  radio/md/focus-ring-radius  [Compact]  ->  radii/full
OK  radio/md/focus-ring-radius  [Spacious]  ->  radii/full
OK  radio/md/focus-ring-radius  [Dense]  ->  radii/full
OK  radio/lg/box-radius  [Comfortable]  ->  radii/full
OK  radio/lg/box-radius  [Compact]  ->  radii/full
OK  radio/lg/box-radius  [Spacious]  ->  radii/full
OK  radio/lg/box-radius  [Dense]  ->  radii/full
OK  radio/lg/focus-ring-gap-radius  [Comfortable]  ->  radii/full
OK  radio/lg/focus-ring-gap-radius  [Compact]  ->  radii/full
OK  radio/lg/focus-ring-gap-radius  [Spacious]  ->  radii/full
OK  radio/lg/focus-ring-gap-radius  [Dense]  ->  radii/full
OK  radio/lg/focus-ring-radius  [Comfortable]  ->  radii/full
OK  radio/lg/focus-ring-radius  [Compact]  ->  radii/full
OK  radio/lg/focus-ring-radius  [Spacious]  ->  radii/full
OK  radio/lg/focus-ring-radius  [Dense]  ->  radii/full
OK  radio/xl/box-radius  [Comfortable]  ->  radii/full
OK  radio/xl/box-radius  [Compact]  ->  radii/full
OK  radio/xl/box-radius  [Spacious]  ->  radii/full
OK  radio/xl/box-radius  [Dense]  ->  radii/full
OK  radio/xl/focus-ring-gap-radius  [Comfortable]  ->  radii/full
OK  radio/xl/focus-ring-gap-radius  [Compact]  ->  radii/full
OK  radio/xl/focus-ring-gap-radius  [Spacious]  ->  radii/full
OK  radio/xl/focus-ring-gap-radius  [Dense]  ->  radii/full
OK  radio/xl/focus-ring-radius  [Comfortable]  ->  radii/full
OK  radio/xl/focus-ring-radius  [Compact]  ->  radii/full
OK  radio/xl/focus-ring-radius  [Spacious]  ->  radii/full
OK  radio/xl/focus-ring-radius  [Dense]  ->  radii/full
